id;name;address;postalCode;isEmtPark;lastUpd;freeParking;geometry;datetime
29;Hernani;C/ Hernani (entre C/ Orense y Comandante Zorita);;False;01/01/1900T00:00:00;;{'type': 'Point', 'coordinates': ['-3.6999184', '40.4482467']};2020-12-13T12:50:38.588182
30;José Castán Tobeñas;C/ José Castán Tobeñas;;False;01/01/1900T00:00:00;;{'type': 'Point', 'coordinates': ['-3.69225', '40.46473']};2020-12-13T12:50:38.588182
31;Miguel Yuste;C/ Miguel Yuste s/n;;False;01/01/1900T00:00:00;;{'type': 'Point', 'coordinates': ['-3.62371', '40.43733']};2020-12-13T12:50:38.588182
32;Plaza de Oriente;Plaza de Oriente, 1;;False;2020-12-13T12:49:48.220000;49;{'type': 'Point', 'coordinates': ['-3.71305556', '40.42000000']};2020-12-13T12:50:38.588182
33;Presidente Carmona;Avda. Presidente Carmona;;False;01/01/1900T00:00:00;;{'type': 'Point', 'coordinates': ['-3.697261', '40.4541445']};2020-12-13T12:50:38.588182
35;Reyes Magos;Plaza Reyes Magos;;False;01/01/1900T00:00:00;;{'type': 'Point', 'coordinates': ['-3.6759568', '40.4089554']};2020-12-13T12:50:38.588182
36;San Cayetano;Plaza San Cayetano;;False;01/01/1900T00:00:00;;{'type': 'Point', 'coordinates': ['-3.670343', '40.434403']};2020-12-13T12:50:38.588182
37;Sánchez Bustillo;C/ Sánchez Bustillo;;False;2020-12-13T12:49:49.207000;20;{'type': 'Point', 'coordinates': ['-3.6933423', '40.4088597']};2020-12-13T12:50:38.588182
39;Serrano II;C/ Serrano entre Ortega y Gasset y Hermosilla;;False;01/01/1900T00:00:00;;{'type': 'Point', 'coordinates': ['-3.68715', '40.42865']};2020-12-13T12:50:38.588182
40;Serrano III;C/ Serrano entre Jorge Juan y Pza. Independencia;;False;01/01/1900T00:00:00;;{'type': 'Point', 'coordinates': ['-3.6884056', '40.4197583']};2020-12-13T12:50:38.588182
