fecha_hora;idelem;intensidad;ocupacion;carga;nivelServicio;error;st_x;st_y
13/12/2020 12:40:07;6624;100;0;14;0;N;444195,69750906;4482059,18848033
13/12/2020 12:40:07;6625;180;7;21;0;N;443967,854627276;4481880,81975809
13/12/2020 12:40:07;10460;380;1;6;0;N;443927,78426121;4482573,64400977
13/12/2020 12:40:07;10462;200;1;5;0;N;444084,573753935;4482598,88866954
13/12/2020 12:40:07;10461;60;0;2;0;N;443911,35669518;4482422,68195382
13/12/2020 12:40:07;9875;300;1;8;0;N;444483,596246778;4483240,32953345
13/12/2020 12:40:07;10456;300;0;8;0;N;444832,627045603;4482713,59910427
13/12/2020 12:40:07;10457;440;2;14;0;N;445050,763768434;4482987,59440158
13/12/2020 12:40:07;10459;320;1;15;0;N;444218,901028886;4482351,76430339
13/12/2020 12:40:07;10458;300;1;8;0;N;444597,934576755;4482434,13837944
13/12/2020 12:40:07;6592;460;2;11;0;N;443995,677184397;4483674,71748265
13/12/2020 12:40:07;6921;780;2;24;0;N;443759,00167833;4483866,23631787
13/12/2020 12:40:07;3699;320;1;15;0;N;444006,337888952;4483724,0712953
13/12/2020 12:40:07;6920;600;3;21;0;N;443882,511718495;4483802,68926806
13/12/2020 12:40:07;6593;420;9;21;0;N;443918,332485784;4483715,06579523
13/12/2020 12:40:07;6610;400;1;15;0;N;443737,948905213;4482731,73441513
13/12/2020 12:40:07;6826;499;16;49;1;N;443860,513309939;4482732,09407806
13/12/2020 12:40:07;6626;0;0;0;0;S;445087,844111334;4481698,98715431
13/12/2020 12:40:07;6627;60;3;41;1;N;444743,756139383;4481889,95004063
13/12/2020 12:40:07;6628;0;0;7;0;S;444856,68894746;4482200,32444772
13/12/2020 12:40:07;6629;20;0;7;0;N;444847,023994021;4482289,52226761
13/12/2020 12:40:07;6630;20;0;16;0;S;444820,593938676;4482374,95720218
13/12/2020 12:40:07;9866;480;1;5;0;N;444553,262432516;4482380,74634796
13/12/2020 12:40:07;9867;320;1;14;0;N;444763,198440274;4482658,13616521
13/12/2020 12:40:07;9868;0;0;0;0;S;444785,353947828;4482390,6134348
13/12/2020 12:40:07;9869;180;2;23;0;N;444542,529101081;4482623,67795229
13/12/2020 12:40:07;9871;120;0;12;0;N;444432,082962649;4482739,14492155
13/12/2020 12:40:07;9870;120;0;6;0;S;444178,120845183;4482930,82757339
13/12/2020 12:40:07;9872;60;0;16;0;N;444378,892856115;4482949,57741697
13/12/2020 12:40:07;9873;80;0;6;0;N;444218,549137074;4482731,41167109
13/12/2020 12:40:07;10411;280;1;15;0;N;444436,757769447;4483279,34466424
13/12/2020 12:40:07;9876;20;0;6;0;S;444471,796165004;4483033,02393874
13/12/2020 12:40:07;9877;100;0;10;0;N;444623,722751686;4483284,46495644
13/12/2020 12:40:07;9874;240;0;15;0;N;444715,542418142;4483069,41709299
13/12/2020 12:40:07;5199;240;2;33;1;N;446782,742736697;4470108,03879828
13/12/2020 12:40:07;5201;280;6;53;2;N;446672,271868284;4469987,75357629
13/12/2020 12:40:07;5206;260;5;42;1;N;447336,820525219;4470075,46763768
13/12/2020 12:40:07;5207;80;1;38;1;N;447446,919183296;4469974,57156214
13/12/2020 12:40:07;5208;40;1;32;1;N;447477,363133585;4470024,30331527
13/12/2020 12:40:07;5212;260;2;28;1;N;445737,792268743;4469753,31856922
13/12/2020 12:40:07;5213;160;2;30;1;N;445878,137335696;4469697,51268043
13/12/2020 12:40:07;5214;120;2;28;1;N;445703,724337405;4469632,78583072
13/12/2020 12:40:07;5215;160;1;22;0;N;445815,07522531;4469564,34645744
13/12/2020 12:40:07;5228;120;2;17;0;N;445742,607890288;4469754,40305413
13/12/2020 12:40:07;5230;300;5;40;1;N;447076,418439098;4470347,51000485
13/12/2020 12:40:07;5644;340;3;33;1;N;446948,846750348;4470237,63259271
13/12/2020 12:40:07;10156;0;97;46;1;S;447064,146627179;4470279,60889199
13/12/2020 12:40:07;5200;140;28;57;2;N;446749,577554529;4470029,64042425
13/12/2020 12:40:07;5229;20;18;15;0;N;446694,746534673;4470046,43488911
13/12/2020 12:40:07;5222;420;22;64;2;N;444736,829688294;4469444,89673877
13/12/2020 12:40:07;5216;440;69;69;2;N;444722,661498736;4469456,3970213
13/12/2020 12:40:07;5224;560;15;70;2;N;444695,193667972;4469485,52978017
13/12/2020 12:40:07;5227;400;7;54;2;N;444689,935725983;4469513,84171498
13/12/2020 12:40:07;5223;540;65;76;3;N;444708,523574177;4469537,36184934
13/12/2020 12:40:07;5221;540;65;77;3;N;444695,813414026;4469524,96245554
